,home_team,away_team,Group,home_win,away_win,draw,top_scorelines,expected_total_goals,Probable team win
0,Mexico,South Africa,A,53.77970613664416,27.77449835902443,18.43621952862804,"[('2-1', 7.14), ('2-2', 6.75), ('3-1', 6.22)]",4.5,Mexico
1,South Korea,Czech Republic,A,42.83974749548807,36.49801034719543,20.66050589733746,"[('2-1', 7.63), ('1-1', 7.34), ('2-2', 7.3)]",3.99,South Korea
2,Canada,Bosnia and Herzegovina,B,48.085270574939706,34.15828935510981,17.73596836816435,"[('2-2', 6.24), ('3-2', 5.82), ('2-1', 5.22)]",5.19,Canada
3,USA,Paraguay,D,52.76681951664099,30.80337117386605,16.367998512894395,"[('3-2', 5.64), ('2-2', 5.23), ('3-3', 4.79)]",5.79,USA
4,Australia,Turkey,D,39.544695668458495,45.05272331540895,12.792443458723692,"[('4-5', 3.17), ('4-4', 3.12), ('5-5', 3.07)]",9.92,Turkey
5,Qatar,Switzerland,B,36.13730166439296,41.4431569094949,22.419101477078048,"[('1-1', 9.44), ('1-2', 8.44), ('2-1', 7.83)]",3.45,Switzerland
6,Brazil,Morocco,C,54.21848665216973,22.885690467832486,22.895459187592486,"[('1-1', 10.75), ('2-1', 9.83), ('1-0', 9.7)]",2.94,Brazil
7,Haiti,Scotland,C,32.33823166067025,46.63291821137953,21.027504458525296,"[('1-2', 8.36), ('1-1', 8.07), ('2-2', 7.15)]",3.78,Scotland
8,Germany,Curaçao,E,55.47482972357825,24.413590138456943,20.109195347608207,"[('2-1', 9.08), ('1-1', 8.1), ('3-1', 6.79)]",3.69,Germany
9,Netherlands,Japan,F,52.84058480393736,29.754617666512427,17.380175376217657,"[('2-2', 6.18), ('3-2', 5.98), ('2-1', 5.55)]",5.13,Netherlands
10,Ivory Coast,Ecuador,E,38.65518817459843,27.062435087927028,34.28237620402533,"[('0-0', 19.03), ('1-0', 17.75), ('0-1', 13.83)]",1.66,Ivory Coast
11,Sweden,Tunisia,F,46.4191991126818,34.17226555434381,19.403620358345396,"[('2-2', 7.1), ('2-1', 6.96), ('1-2', 5.98)]",4.42,Sweden
12,Spain,Cape Verde,H,45.906136510003286,31.083335936636043,23.010209517093454,"[('1-1', 10.26), ('2-1', 9.14), ('1-2', 7.35)]",3.21,Spain
13,Belgium,Egypt,G,47.21483821236781,32.687639751727815,20.094729054764773,"[('2-1', 7.73), ('2-2', 7.19), ('1-1', 6.89)]",4.11,Belgium
14,Saudi Arabia,Uruguay,H,37.91635742822956,42.0848033811695,19.99585801201619,"[('2-2', 7.26), ('1-2', 7.01), ('2-1', 6.65)]",4.25,Uruguay
15,Iran,New Zealand,G,39.992751660027196,24.981931476122018,35.02531639248837,"[('0-0', 20.44), ('1-0', 18.91), ('0-1', 13.54)]",1.59,Iran
16,Austria,Jordan,J,54.13244330769407,27.68552280558843,18.170245191395335,"[('2-1', 6.89), ('2-2', 6.66), ('3-1', 6.15)]",4.61,Austria
17,France,Senegal,I,39.17290100710986,26.378266881446045,34.448831580093916,"[('0-0', 19.38), ('1-0', 18.09), ('0-1', 13.71)]",1.64,France
18,Iraq,Norway,I,32.47394896763335,45.434112441102705,22.09133791394773,"[('1-1', 9.26), ('1-2', 8.78), ('2-1', 7.32)]",3.48,Norway
19,Argentina,Algeria,J,41.276351517996076,29.524926311739662,29.198715486383993,"[('1-0', 13.8), ('1-1', 13.3), ('0-0', 11.55)]",2.16,Argentina
20,Portugal,DR Congo,K,52.11085278156066,27.16855242152943,20.718920383998185,"[('2-1', 8.95), ('1-1', 8.32), ('2-2', 6.8)]",3.67,Portugal
21,England,Croatia,L,49.41930712093415,35.16967284996365,15.194922080504758,"[('3-3', 4.62), ('4-3', 4.29), ('3-2', 4.29)]",6.95,England
22,Ghana,Panama,L,50.88105207715391,32.839921742017104,16.201017486483014,"[('3-2', 5.36), ('3-3', 4.88), ('2-2', 4.87)]",6.04,Ghana
23,Uzbekistan,Colombia,K,34.54650682379615,44.95925795892142,20.492219016952316,"[('1-2', 7.75), ('2-2', 7.26), ('1-1', 7.23)]",4.02,Colombia
24,Czech Republic,South Africa,A,39.19179864452145,28.97396584993675,31.834233910878933,"[('1-0', 15.81), ('0-0', 15.28), ('1-1', 13.34)]",1.88,Czech Republic
25,Switzerland,Bosnia and Herzegovina,B,43.46217580318404,39.6382880561751,16.85072142351361,"[('2-2', 5.24), ('3-2', 5.23), ('2-3', 5.02)]",5.86,Switzerland
26,Canada,Qatar,B,54.696964582696374,25.933201336510038,19.36548085413072,"[('2-1', 8.34), ('1-1', 6.96), ('2-2', 6.81)]",4.03,Canada
27,Mexico,South Korea,A,54.949221871,29.245212058460968,11.79440099801679,"[('5-4', 3.14), ('6-4', 3.01), ('5-5', 2.87)]",10.31,Mexico
28,Turkey,Paraguay,D,46.69858267392485,27.356420989445223,25.944943463355386,"[('1-1', 12.33), ('1-0', 11.48), ('2-1', 9.17)]",2.56,Turkey
29,USA,Australia,D,46.7954937409438,34.260902342178476,18.93632696500156,"[('2-2', 6.94), ('2-1', 6.51), ('3-2', 5.74)]",4.61,USA
30,Scotland,Morocco,C,68.49015332257406,17.535586671778617,9.995661801957615,"[('5-3', 3.48), ('6-3', 3.42), ('5-4', 3.11)]",9.48,Scotland
31,Brazil,Haiti,C,37.38424480673798,22.481227806733422,40.13452732889289,"[('0-0', 28.12), ('1-0', 21.21), ('0-1', 14.46)]",1.27,Brazil
32,Tunisia,Japan,F,49.893484386660326,33.51504682814203,16.5324087506196,"[('3-2', 5.49), ('2-2', 5.17), ('3-3', 4.9)]",5.86,Tunisia
33,Netherlands,Sweden,F,43.98472470999255,34.393864283377276,21.620580071576263,"[('1-1', 8.62), ('2-1', 8.38), ('1-2', 7.35)]",3.65,Netherlands
34,Germany,Ivory Coast,E,51.87545026171077,33.339652517133075,12.847634013268413,"[('5-4', 3.39), ('4-4', 3.36), ('5-3', 3.16)]",9.34,Germany
35,Ecuador,Curaçao,E,48.220174404142135,31.739479772755036,20.037425787605972,"[('2-1', 7.82), ('2-2', 7.15), ('1-1', 6.91)]",4.09,Ecuador
36,Spain,Saudi Arabia,H,39.96114642165366,29.393720463963874,30.6451301512067,"[('1-0', 14.91), ('0-0', 13.55), ('1-1', 13.4)]",2.0,Spain
37,Belgium,Iran,G,60.837591686420176,25.171067108731947,13.441441701452838,"[('4-3', 4.32), ('4-2', 4.25), ('3-3', 3.98)]",7.39,Belgium
38,Uruguay,Cape Verde,H,53.17911353577598,30.03871148339119,16.739032753942755,"[('3-2', 5.84), ('2-2', 5.65), ('3-1', 4.87)]",5.5,Uruguay
39,New Zealand,Egypt,G,28.322028407001763,50.40413323621829,21.272701926877268,"[('1-2', 9.02), ('1-1', 8.77), ('2-2', 6.81)]",3.57,Egypt
40,Argentina,Austria,J,38.32512033145735,31.42169938436932,30.25317712455517,"[('1-0', 14.01), ('1-1', 13.47), ('0-0', 12.8)]",2.06,Argentina
41,France,Iraq,I,45.72923435674798,31.430032845181383,22.840377004313932,"[('1-1', 10.08), ('2-1', 9.08), ('1-2', 7.37)]",3.26,France
42,Norway,Senegal,I,53.361567029437005,24.41044023513225,22.227423147051418,"[('1-1', 10.13), ('2-1', 9.71), ('1-0', 8.22)]",3.15,Norway
43,Jordan,Algeria,J,37.4862955410736,41.16956253950215,21.343143943426565,"[('1-1', 8.16), ('1-2', 7.9), ('2-1', 7.52)]",3.78,Algeria
44,Portugal,Uzbekistan,K,48.6037347263404,25.858644711803258,25.537548911870218,"[('1-1', 12.14), ('1-0', 11.58), ('2-1', 9.33)]",2.59,Portugal
45,England,Ghana,L,45.723933894947905,31.470084418278205,22.80561728657407,"[('1-1', 10.05), ('2-1', 9.07), ('1-2', 7.37)]",3.27,England
46,Panama,Croatia,L,37.70643149255913,43.390236114883706,18.895712288195455,"[('2-2', 6.9), ('1-2', 6.06), ('2-1', 5.67)]",4.71,Croatia
47,Colombia,DR Congo,K,55.35927942744796,28.650520648339338,15.907671384454956,"[('3-2', 5.6), ('2-2', 4.98), ('4-2', 4.72)]",5.9,Colombia
48,Switzerland,Canada,B,40.20773364909949,42.249257028855055,17.51666684057998,"[('2-2', 5.91), ('2-3', 5.44), ('3-2', 5.31)]",5.46,Canada
49,Bosnia and Herzegovina,Qatar,B,50.53304462783683,28.00316819363442,21.462796454729087,"[('2-1', 9.14), ('1-1', 9.01), ('2-2', 6.73)]",3.5,Bosnia and Herzegovina
50,Scotland,Brazil,C,38.0830539997658,29.336457337573396,9.997052388111374,"[('7-6', 2.19), ('7-7', 2.16), ('8-6', 2.08)]",14.52,Scotland
51,Morocco,Haiti,C,29.62823798684634,30.535559476448555,39.83620251008272,"[('0-0', 26.95), ('0-1', 17.87), ('1-0', 17.47)]",1.31,Haiti
52,Czech Republic,Mexico,A,33.818632512298976,35.13638320376583,31.044982464321986,"[('0-1', 13.85), ('0-0', 13.82), ('1-1', 13.53)]",1.98,Mexico
53,South Africa,South Korea,A,42.61128781332537,42.61128781332536,13.790758028981584,"[('4-4', 3.73), ('3-4', 3.46), ('4-3', 3.46)]",8.63,South Africa
54,Curaçao,Ivory Coast,E,32.89975016280909,52.552027060126875,13.156420282655956,"[('4-4', 3.54), ('3-4', 3.5), ('4-5', 3.42)]",8.88,Ivory Coast
55,Ecuador,Germany,E,35.52710746308962,47.078157251414176,17.365637761248784,"[('2-2', 5.88), ('2-3', 5.68), ('3-2', 5.0)]",5.45,Germany
56,Japan,Sweden,F,35.973065611421696,38.54331213068306,25.483572344607424,"[('1-1', 12.05), ('0-1', 8.92), ('1-0', 8.56)]",2.76,Sweden
57,Tunisia,Netherlands,F,41.204213762961515,40.89228259319998,17.88467966459689,"[('2-2', 6.23), ('3-2', 5.46), ('2-3', 5.44)]",5.25,Tunisia
58,USA,Turkey,D,41.97369450627193,41.01801967138673,12.181206150423952,"[('5-5', 2.95), ('5-4', 2.71), ('6-5', 2.7)]",10.94,USA
59,Paraguay,Australia,D,38.27047923338897,37.7166463736327,24.012739406890837,"[('1-1', 10.96), ('2-1', 8.43), ('1-2', 8.36)]",3.06,Paraguay
60,Norway,France,I,56.97353486137368,28.822749523679057,12.940798930235154,"[('4-3', 3.75), ('5-3', 3.63), ('4-4', 3.5)]",8.57,Norway
61,Senegal,Iraq,I,43.7976268179405,41.01183339236811,14.850308301069637,"[('3-3', 4.29), ('4-3', 4.06), ('3-4', 3.96)]",7.47,Senegal
62,Cape Verde,Saudi Arabia,H,37.511015687835084,33.12224050121842,29.3667390062977,"[('1-1', 13.42), ('1-0', 12.91), ('0-1', 11.92)]",2.17,Cape Verde
63,Uruguay,Spain,H,48.97074990742552,35.394392095007134,15.466772067461173,"[('3-3', 4.75), ('3-2', 4.54), ('4-3', 4.27)]",6.73,Uruguay
64,Egypt,Iran,G,56.31704400817797,29.2098634507505,13.985729687542086,"[('4-3', 4.3), ('3-3', 4.07), ('4-2', 3.97)]",7.49,Egypt
65,New Zealand,Belgium,G,25.32907327571094,55.405583422251404,19.26076159539905,"[('1-2', 8.39), ('1-1', 6.96), ('2-2', 6.76)]",4.02,Belgium
66,Panama,England,L,34.05347477882512,41.330682054680736,24.615748831613896,"[('1-1', 11.48), ('1-2', 8.83), ('0-1', 8.35)]",2.91,England
67,Croatia,Ghana,L,38.45528118901257,30.135284578703104,31.409432416943584,"[('1-0', 15.16), ('0-0', 14.55), ('1-1', 13.43)]",1.93,Croatia
68,Colombia,Portugal,K,44.55063696844957,40.44652592893814,14.544024402533578,"[('3-3', 4.03), ('4-3', 3.99), ('3-4', 3.84)]",7.77,Colombia
69,DR Congo,Uzbekistan,K,40.9929417853582,32.93404356016778,26.072977607551735,"[('1-1', 12.4), ('1-0', 10.07), ('0-1', 8.83)]",2.63,DR Congo
70,Algeria,Austria,J,39.992045144325274,39.27064404095159,20.73569617173647,"[('2-1', 7.38), ('1-1', 7.37), ('2-2', 7.33)]",3.99,Algeria
71,Jordan,Argentina,J,33.45780577990911,52.000753204138775,13.675270410923995,"[('3-4', 3.88), ('4-4', 3.69), ('3-5', 3.5)]",8.31,Argentina
